timestamp,timestamp_by_camera,body_nose_x,body_nose_y,body_nose_z,body_left_eye_inner_x,body_left_eye_inner_y,body_left_eye_inner_z,body_left_eye_x,body_left_eye_y,body_left_eye_z,body_left_eye_outer_x,body_left_eye_outer_y,body_left_eye_outer_z,com_full_body_x,com_full_body_y,com_full_body_z,right_hand_0000_x,right_hand_0000_y,right_hand_0000_z,left_hand_0000_x,left_hand_0000_y,left_hand_0000_z,face_0000_x,face_0000_y,face_0000_z
,{},-201.15166886323135,-647.7226484998387,1593.9638047873707,-189.47852757004463,-686.8162589888748,1602.0031569532173,-182.2792165191682,-686.8292104955405,1616.727481214197,-174.63800332832565,-686.4349268540589,1630.7194614858606,-356.7125119421494,-112.32542209905664,1899.5493553286217,-193.5529174783765,-178.50579957041188,1811.869338802479,689.2972563388266,689.2981591927669,689.2976820661522,375.0188984107009,375.0173165498925,375.0148150175485
,{},-207.7197964820492,-677.7525407896478,1704.1089532180242,-199.21932955966943,-713.7384265722108,1719.8520382669444,-190.70339092183303,-712.8152006603783,1730.670390173798,-181.990841941834,-712.2860938453107,1743.9795336965162,-353.5681812727746,-128.71232708930637,2022.0964458688134,-217.10019310021485,-205.7704116983172,1901.7679862678235,735.2312380608981,728.9611118107639,602.9218550744057,442.9534183762217,493.49547774169497,211.3912357210644
,{},-219.4437873326721,-717.3877987705805,1815.6920511400133,-212.0787248905678,-751.2884434404688,1836.614072761217,-202.3385551304493,-749.3057728984421,1844.951767761982,-192.75952704949967,-748.0090105036338,1856.7783441885183,-362.4583415514254,-153.4553145551274,2132.3942918506036,-248.824833308186,-230.35154914926585,1965.852120210341,497.3698293028352,504.08983998076405,1086.1236695554371,404.79510591320303,423.9008546058094,307.80387788898224
,{},-239.2893661299372,-756.7833325669606,1903.910193681761,-229.77763348302477,-789.2073249655244,1926.6458003594964,-218.84443462422988,-786.1910965574054,1934.123716012376,-208.49585277408409,-783.7100803191883,1944.2221830121057,-383.3648194388751,-181.39225611611877,2212.88579861519,-284.0069389188308,-250.35372943021932,1996.3038142536336,74.48491457492804,117.54130556786976,1916.1131655274853,192.00664104835369,57.24810222840827,814.4553298397636
