body_nose_x,body_nose_y,body_nose_z,body_left_eye_inner_x,body_left_eye_inner_y,body_left_eye_inner_z,body_left_eye_x,body_left_eye_y,body_left_eye_z,body_left_eye_outer_x,body_left_eye_outer_y,body_left_eye_outer_z
-201.15166886323138,-647.7226484998387,1593.9638047873707,-189.47852757004466,-686.8162589888748,1602.0031569532173,-182.2792165191682,-686.8292104955405,1616.727481214197,-174.63800332832565,-686.4349268540589,1630.7194614858606
-207.71979648204922,-677.7525407896478,1704.1089532180242,-199.21932955966946,-713.7384265722108,1719.8520382669444,-190.70339092183303,-712.8152006603783,1730.670390173798,-181.99084194183402,-712.2860938453107,1743.9795336965162
-219.44378733267206,-717.3877987705805,1815.6920511400135,-212.0787248905678,-751.2884434404688,1836.6140727612171,-202.33855513044932,-749.3057728984421,1844.951767761982,-192.75952704949967,-748.0090105036338,1856.7783441885185
-239.28936612993718,-756.7833325669606,1903.910193681761,-229.77763348302474,-789.2073249655244,1926.6458003594964,-218.84443462422988,-786.1910965574054,1934.123716012376,-208.49585277408409,-783.7100803191883,1944.2221830121057
